client-api 2.5
audio-decoders 184
A mace3 | mace3 | MACE (Macintosh Audio Compression/Expansion) 3:1
A mace6 | mace6 | MACE (Macintosh Audio Compression/Expansion) 6:1
A metasound | metasound | Voxware MetaSound
A misc4 | misc4 | Micronas SC-4 Audio
A mlp | mlp | MLP (Meridian Lossless Packing)
A mp1 | mp1 | MP1 (MPEG audio layer 1)
A mp1 | mp1float | MP1 (MPEG audio layer 1)
A mp2 | mp2 | MP2 (MPEG audio layer 2)
A mp2 | mp2float | MP2 (MPEG audio layer 2)
A mp3 | mp3 | MP3 (MPEG audio layer 3)
A mp3 | mp3float | MP3 (MPEG audio layer 3)
A mp3adu | mp3adu | ADU (Application Data Unit) MP3 (MPEG audio layer 3)
A mp3adu | mp3adufloat | ADU (Application Data Unit) MP3 (MPEG audio layer 3)
A mp3on4 | mp3on4 | MP3onMP4
A mp3on4 | mp3on4float | MP3onMP4
A mp4als | als | MPEG-4 Audio Lossless Coding (ALS)
A msnsiren | msnsiren | MSN Siren
A musepack7 | mpc7 | Musepack SV7
A musepack8 | mpc8 | Musepack SV8
A nellymoser | nellymoser | Nellymoser Asao
A opus | libopus | libopus Opus
A opus | opus | Opus
A osq | osq | OSQ (Original Sound Quality)
A paf_audio | paf_audio | Amazing Studio Packed Animation File Audio
A pcm_alaw | pcm_alaw | PCM A-law / G.711 A-law
A pcm_bluray | pcm_bluray | PCM signed 16|20|24-bit big-endian for Blu-ray media
A pcm_dvd | pcm_dvd | PCM signed 16|20|24-bit big-endian for DVD-Video media
A pcm_dvda | pcm_dvda | PCM signed 16|20|24-bit big-endian for DVD-Audio media
A pcm_f16le | pcm_f16le | PCM 16.8 floating point little-endian
A pcm_f24le | pcm_f24le | PCM 24.0 floating point little-endian
A pcm_f32be | pcm_f32be | PCM 32-bit floating point big-endian
A pcm_f32le | pcm_f32le | PCM 32-bit floating point little-endian
A pcm_f64be | pcm_f64be | PCM 64-bit floating point big-endian
A pcm_f64le | pcm_f64le | PCM 64-bit floating point little-endian
A pcm_lxf | pcm_lxf | PCM signed 20-bit little-endian planar
A pcm_mulaw | pcm_mulaw | PCM mu-law / G.711 mu-law
A pcm_s16be | pcm_s16be | PCM signed 16-bit big-endian
A pcm_s16be_planar | pcm_s16be_planar | PCM signed 16-bit big-endian planar
A pcm_s16le | pcm_s16le | PCM signed 16-bit little-endian
A pcm_s16le_planar | pcm_s16le_planar | PCM signed 16-bit little-endian planar
A pcm_s24be | pcm_s24be | PCM signed 24-bit big-endian
A pcm_s24daud | pcm_s24daud | PCM D-Cinema audio signed 24-bit
A pcm_s24le | pcm_s24le | PCM signed 24-bit little-endian
A pcm_s24le_planar | pcm_s24le_planar | PCM signed 24-bit little-endian planar
A pcm_s32be | pcm_s32be | PCM signed 32-bit big-endian
A pcm_s32le | pcm_s32le | PCM signed 32-bit little-endian
A pcm_s32le_planar | pcm_s32le_planar | PCM signed 32-bit little-endian planar
A pcm_s64be | pcm_s64be | PCM signed 64-bit big-endian
A pcm_s64le | pcm_s64le | PCM signed 64-bit little-endian
A pcm_s8 | pcm_s8 | PCM signed 8-bit
A pcm_s8_planar | pcm_s8_planar | PCM signed 8-bit planar
A pcm_sga | pcm_sga | PCM SGA
A pcm_u16be | pcm_u16be | PCM unsigned 16-bit big-endian
A pcm_u16le | pcm_u16le | PCM unsigned 16-bit little-endian
A pcm_u24be | pcm_u24be | PCM unsigned 24-bit big-endian
A pcm_u24le | pcm_u24le | PCM unsigned 24-bit little-endian
A pcm_u32be | pcm_u32be | PCM unsigned 32-bit big-endian
A pcm_u32le | pcm_u32le | PCM unsigned 32-bit little-endian
A pcm_u8 | pcm_u8 | PCM unsigned 8-bit
A pcm_vidc | pcm_vidc | PCM Archimedes VIDC
A qcelp | qcelp | QCELP / PureVoice
A qdm2 | qdm2 | QDesign Music Codec 2
A qdmc | qdmc | QDesign Music Codec 1
A ra_144 | real_144 | RealAudio 1.0 (14.4K)
A ra_288 | real_288 | RealAudio 2.0 (28.8K)
A ralf | ralf | RealAudio Lossless
